,video_id,channel_id,video_posting_date,video_title,video_desc,video_length,made_for_kids,video_views,video_comments,video_topic,video_likes
5,XmGDe_oYPiE,UCD1Em4q90ZUK2R5HKesszJg,2023-02-01T08:00:12Z,This Valentine's Season In Clash of Clans 💕,"This Valentine's Season, Beast King meets his match... Watch out for Heart Hunter Queen! 


Follow us on our Socials!
Twitter ► https://twitter.com/ClashofClans/
Instagram ► https://www.instagram.com/clashofclans 
Facebook ► https://www.facebook.com/ClashofClans 
TikTok ► https://www.tiktok.com/@clashofclans

Attack. Defend. Strategize. Download for free for mobile devices. http://supr.cl/ThisArmy

From rage-­filled Barbarians with glorious mustaches to pyromaniac wizards, raise your own army and lead your clan to victory! Build your village to fend off raiders, battle against millions of players worldwide, and forge a powerful clan with others to destroy enemy clans.
PLEASE NOTE! Clash of Clans is free to download and play, however some game items can also be purchased for real money 

Also, under our Terms of Service and Privacy Policy, you must be at least 13 years of age to play or download Clash of Clans.
A network connection is also required.

FEATURES
- Build your village into an unbeatable fortress 
- Raise your own army of Barbarians, Archers, Hog Riders, Wizards, Dragons and other mighty fighters
- Battle with players worldwide and take their Trophies
- Join together with other players to form the ultimate Clan
- Fight against rival Clans in epic Clan Wars 
- Build 18 unique units with multiple levels of upgrades
- Discover your favorite attacking army from countless combinations of troops, spells, Heroes and Clan reinforcements 
- Defend your village with a multitude of Cannons, Towers, Mortars, Bombs, Traps and Walls
- Fight against the Goblin King in a campaign through the realm

Chief, are you having problems? Visit https://help.supercellsupport.com/clash-of-clans/en/

Privacy Policy:
https://supercell.com/en/privacy-policy/

Terms of Service:
https://supercell.com/en/terms-of-service/

Parent’s Guide:
https://supercell.com/en/parents/

#clashofclans #valentinesday #clash",PT45S,False,1135099,1011,"'Action_game', 'Strategy_video_game', 'Video_game_culture'",31349.0
6,_r3X8ELgo4U,UClyGlKOhDUooPJFy4v_mqPg,2023-01-31T20:02:45Z,I made a game show about the world's most toxic gamers,"I rate all gamers a 0 on Metacritic. 

This was streamed live on Twitch! https://bit.ly/DougTwitch
Featuring: @CONEYZZ  @failboat @SimplyN64 

Edited by CyVoltage! https://www.youtube.com/c/CyVoltage

My 2nd Channel: http://bit.ly/dougdoug2
Twitter: https://twitter.com/DougDougFood
Subscribe: https://bit.ly/dougdougsubsub

More DugDug:
Latest Uploads: https://www.youtube.com/watch?v=rp4cH7mb4X4&list=PLzTxt5iYdhziB3Zf03HR_aZWgJ49ffj-d&index=2
DougDoug Challenges: https://www.youtube.com/playlist?list=PLzTxt5iYdhzh_SW60_g3HPVjBupwUZOFA
Popular Videos: https://www.youtube.com/playlist?list=PLzTxt5iYdhzgrLpm-SQNNAVOw0gVs8Iu_

About DougDoug:
Doug is a sentient bell pepper who was hired by the FBI to crack gaming challenges and also talk about things with food

#DougDoug #Classroom #gameshow",PT37M59S,False,490859,1729,"'Action_game', 'Strategy_video_game', 'Video_game_culture'",40298.0
9,LK2zmFr5wV4,UC52XYgEExV9VG6Rt-6vnzVA,2023-01-31T15:00:08Z,Destiny 2: Lightfall | Weapons and Gear Trailer,"Cloud Strider technology is within our grasp. To battle the Shadow Legion, you're going to need all the firepower you can get. http://bung.ie/lightfall

FOLLOW DESTINY:
Facebook: https://www.facebook.com/DestinyTheGame
Twitter: https://www.twitter.com/destinythegame
Instagram: https://www.instagram.com/destinythegame
Discord: http://www.discord.gg/destinygame

FOLLOW BUNGIE:
Facebook: https://www.facebook.com/Bungie/
Twitter: https://www.twitter.com/bungie
Instagram: https://www.instagram.com/bungie/
⠀ ⠀ ⠀ ⠀
Dive into the free-to-play world of Destiny 2 to experience responsive first-person shooter combat, explore the mysteries of our solar system, and unleash elemental abilities against powerful enemies. Create your Guardian and collect unique weapons, armor, and gear to customize your look and playstyle. Experience Destiny 2’s cinematic story alone or with friends, join other Guardians for challenging co-op missions, or compete against them in a variety of PvP modes.",PT1M50S,False,779289,3241,"'Action-adventure_game', 'Action_game', 'Role-playing_video_game', 'Video_game_culture'",31581.0
10,#NAME?,UCmr_vYKbp98f6kdRoer0iVw,2023-01-31T23:32:25Z,Playing as Barry in BARRY'S PRISON RUN in ROBLOX,"Shoutout to Roblox for sponsoring me. Thanks for the Robux, Roblox!
Playing as Barry in BARRY'S PRISON RUN in ROBLOX with PrestonGamez 👊

👕 MERCH - http://www.firemerch.com 

🔥 NEW Fire Merch App - https://tinyurl.com/mvsnxr6

Join the #FireNation Roblox Group! - https://www.roblox.com/groups/4008286/FireNation#!/about

❤️ FRIENDS
☛ @BriannaPlayz 

👀 FOLLOW ME HERE!
☛ TikTok - https://www.tiktok.com/@preston
☛ Instagram - https://instagram.com/prestonplayz
☛ Twitter - https://twitter.com/Preston
☛ PrestonShorts - https://bit.ly/2VrTLIr

🎮 Join my Fan Discord! 
☛ http://discord.gg/Preston

------------------------------

Additional music provided by Epidemic Sound
Click here for a free trial! ☛ http://share.epidemicsound.com/TBNR

#UseStarCodePreston",PT14M36S,False,398336,426,"'Action-adventure_game', 'Action_game', 'Video_game_culture'",7935.0
17,EnUKatXqxbk,UCUT8RoNBTJvwW1iErP6-b-A,2023-02-01T01:22:42Z,"I paid $500,000 to start an Esports team…","Follow DSG: https://twitter.com/Disguised

Subscribe to Disguised Toast! ►http://bit.ly/1cRxhZa

Watch me Live on Twitch! ► https://twitch.tv/disguisedtoast
Visit our Website! ► http://disguisedtoast.com
Like us on Facebook! ► http://facebook.com/DisguisedToast
Follow on Instagram! ► http://instagram.com/DisguisedToast
Follow on Twitter! ► http://twitter.com/DisguisedToast

edited by:
https://twitter.com/Otriggad
http://twitter.com/_4our_
http://twitter.com/Frosturne

#DisguisedToast #OfflineTV",PT20M18S,False,413939,1362,"'Action_game', 'Video_game_culture'",39757.0
18,cTXcQ72bxCs,UCVAYy7_zddIx6USjXscV9Vg,2023-01-31T19:35:38Z,I Busted 29 Myths in Garten of BanBan!,"Today we are busting 29 myths in GARTEN of BANBAN! Who's excited for Garten of BanBan 2? DROP A LIKE!


👕Caylus Merch👕  https://shopcaylus.com/
📷 𝐢𝐧𝐬𝐭𝐚𝐠𝐫𝐚𝐦📷 https://www.instagram.com/caylus/
🐦Twitter🐦  https://twitter.com/Caylusq
👽 DISCORD👽 https://discord.gg/S9qTFu9Yag
🎵Tiktok🎵  https://www.tiktok.com/@infinite?lang=en
📚FaceBook📚 https://www.facebook.com/InfiniteLists.Official/
🧍‍♂️Shorts Channel🧍‍♂️ https://www.youtube.com/c/InfiniteShorts
🕹️Gaming Shorts Channel🕹️https://www.youtube.com/channel/UCPD5p5Qe-NhRGfWBpwqpt1w

Subscribe to my 𝗼𝘁𝗵𝗲𝗿 𝗰𝗵𝗮𝗻𝗻𝗲𝗹: @infinite",PT19M27S,False,744994,1359,"'Action-adventure_game', 'Action_game', 'Casual_game', 'Video_game_culture'",28038.0
20,RRrORqLMk74,UCWZmCMB7mmKWcXJSIPRhzZw,2023-01-31T19:15:37Z,IF THE SIDEMEN WERE DADS...,"Which of the Sidemen will be the best dad?

If you have an idea you would like to see, let me know here:
https://docs.google.com/forms/d/e/1FAIpQLSfrqSDycG6GevuJD7gGvfHsa3O-qdbTTyZjV-Lr3tjoP5hXLQ/viewform?usp=sf_link

Second Channel: https://goo.gl/acaMTt
Twitter: https://goo.gl/ugsA1Y
Facebook: https://goo.gl/S7X2XQ

Sidemen Clothing: https://goo.gl/8RLHBR

Sidemen Book: https://goo.gl/wqFrjS

My PC: http://bit.ly/miniminter

Custom Controller: http://bit.ly/SideCCUK

HOW I RECORD MY GAMEPLAY: http://e.lga.to/mm

WHERE I GET MY CHAIR:
UK: http://goo.gl/35aEHx
USA: https://goo.gl/BbkxsF

Music from: https://www.youtube.com/user/NoCopyrightSounds

Music from MediaMusicNow.co.uk

Video uploaded by
Simon/Miniminter/mm7games",PT21M32S,False,571020,382,"'Sports_game', 'Video_game_culture'",35274.0
21,HZBNqxyXMv4,UCx8vbgWs666cAS7wsKos5sA,2023-01-31T18:21:43Z,So I got the new ROBLOX DOORS ENDING & door 100 is COMPLETELY different.,"Welcome back to Roblox Doors where in today's episode we are getting the brand new UPDATED ENDING! This update was incredible and we are still not done. We're coming back for a multiplayer video and also to check out some of the crazy secrets. Enjoy!!

2nd Channel: https://www.youtube.com/channel/UC6LSW-L7wOFb7i562dOElBA
Get some 8-BitRyan merch here: https://fanfiber.com/collections/8bit-ryan
Twitch: https://www.twitch.tv/iam8bitryan
Check out my Instagram - https://www.instagram.com/8bitryan/?hl=en
Follow me on Twitter - https://twitter.com/IAm8BitRyan

Game: https://www.roblox.com/games/6516141723/DOORS

Music:
Myuu: http://youtube.com/myuuji
Kevin Macleod: http://incompetech.com/wordpress/",PT29M10S,False,450138,3469,"'Action-adventure_game', 'Action_game', 'Role-playing_video_game', 'Video_game_culture'",25391.0
27,qZP5uyEZ4Qo,UC7WDD6yHgzdqijHluCi1z-Q,2023-01-30T21:00:15Z,Is There Any Hope for Halo?,"Thanks to Bespoke Post for sponsoring this video! New subscribers get 20% off their first box — go to https://www.bespokepost.com/act20 and enter code ACT20 at checkout.

With the recent layoffs at Microsoft and 343 Industries, many have started to question the future of Halo Infinite and the franchise itself. Is there any hope for Halo? After so much has gone wrong? Only one way to find out...

Follow me on Twitch ➤ https://www.twitch.tv/theactingmale
SUPPORT the Channel ► https://www.patreon.com/TheActMan

Thumbnail by ► https://twitter.com/EtherealEOD

____TIME STAMPS____
Introduction – 0:00
The Layoffs – 3:00
Joe Staten Leaving Halo - 7:38
Who Should Make Halo Games? - 8:20
Microsoft’s Role – 10:10 
Notable People to Leave 343 Industries – 11:51
What is the Cause of 343i’s Woes? – 15:30
Is There Any Hope For Halo? – 21:02

✪ CONNECT WITH ME ✪
Subscribe ↪ https://www.youtube.com/c/TheActMan?sub_confirmation=1
Twitch ➤ https://www.twitch.tv/theactingmale
Twitter ➤ https://twitter.com/TheActMan_YT
Act Man TV ➤ http://bit.ly/2kPXk7f 

Discord ➤ https://discord.gg/yBABtkh 
Instagram ➤ https://www.instagram.com/theactman_yt/
Xbox Live Gamertag ➤ The Act Man",PT22M26S,False,570671,4789,"'Action-adventure_game', 'Action_game', 'Role-playing_video_game', 'Strategy_video_game', 'Video_game_culture'",39443.0
32,XRzXA7UZl9I,UCZ7AeeVbyslLM_8-nVy2B8Q,2023-01-31T15:00:20Z,"The Day Before vanishes, TLOU Season 2 confirmed and Hi-Fi Rush dazzles | This Week In Videogames","Check out the Steelseries range of all new desktop speakers. Visit https://steelseries.com/gaming-speakers and use offer code 'Skillup' for 12% off site-wide. Thanks Steelseries for sponsoring the video. 
--
The Day Before mysteriously disappears from Steam, saddle up for more TLOU Part 2 discourse and I hope you've already downloaded (and completed) Hi-Fi Rush or we're gonna have words. 

Videos I mentioned:
Dead Space Remake review: https://youtu.be/PHtMjUpZGvs

#ThisWeekInVideogames #TheDayBefore #TLOU
--
If you want to check out Shadows of Doubt (or any other game I profile in the 'Put This On Your Radar segment) you can find a link to it on my Steam Curator page: 
https://store.steampowered.com/curator/28625128-Skill-Up-Curates.../
--
If you want to check out the Friends Per Second Podcast, you can find all the links to it here: 
https://linktr.ee/friendspersecond
--
Thanks for taking the time to watch the video. If you'd like to support the channel even more, the best way is through my Patreon: https://www.patreon.com/skillupyt
--
Grab 12% off any SteelSeries peripheral by using offer code SKILLUP at checkout: https://steelseries.pbj2.net/c/2446303/1266556/2390
--
Edited by Austin @ausomehd
--
Twitter: https://twitter.com/SkillUpYT?lang=en (@skillupyt)

Instagram: https://www.instagram.com/skillupyt/?hl=en

Tiktok: https://www.tiktok.com/@skillup
--
Sources:  
• Day Before: 
 • https://twitter.com/DerelictsGame/status/1618294406393769984
 • Another lie: https://www.ign.com/articles/the-day-before-devs-say-delay-was-planned-before-trademark-dispute
• Riot Source Code: 
 • Statement: https://twitter.com/riotgames/status/1616548651823935488
 • Ransom: https://www.vice.com/en/article/qjky8d/hackers-demand-dollar10m-from-riot-games-to-stop-leak-of-league-of-legends-source-code
• Blizzard Netease: 
 • Shutdown: https://edition.cnn.com/2023/01/24/tech/blizzard-games-china-shutdown-intl-hnk/index.html
 • Statue: https://www.videogameschronicle.com/news/netease-publicly-tears-down-world-of-warcraft-statue-following-blizzard-rift/
• Blizzard sacking: 
 • Schreier: https://twitter.com/jasonschreier/status/1617647012903784463
 • Non-paywall: https://www.gamesindustry.biz/blizzard-terminates-wow-classic-co-lead-over-protest-against-employee-ranking-policy#:~:text=According%20to%20the%20site%2C%20Blizzard,5%25%20of%20their%20team%20members.
 • Statement: https://twitter.com/BrianBirming/status/1617688536983175168?t=A8k8ufeFjKhXITDiN8LvLg&s=19
• Xbox Developer Showcase
• Playground Mavericks: https://www.gamesindustry.biz/playground-games-leaders-form-new-aaa-studio-maverick-games
• TLOU Season 2
• TLOU P3: https://www.polygon.com/23572852/the-last-of-us-part-3-release-naughty-dog-announcement-story
• Horizon Leak: https://www.videogameschronicle.com/news/over-ten-minutes-of-early-horizon-multiplayer-game-footage-leaks-online/
• Callisto Sales: https://www.pcgamer.com/publisher-slashes-callisto-protocol-sales-hopes-by-over-half-after-it-fails-to-meet-absurd-expectations/",PT31M37S,False,276891,1211,"'Action-adventure_game', 'Action_game', 'Role-playing_video_game', 'Strategy_video_game', 'Video_game_culture'",20938.0
