,title,published,description,tags,viewCount,likeCount,dislikeCount,commentCount,duration,postingDate,made_for_kids
0,Every Cocktail Glass Explained By A Bartender | Bon Appétit,2023-05-25T16:00:24Z,"Tim Sweeney is the Head Bartender of Pebble Bar, a legendary cocktail spot in Manhattan at Rockefeller Center. Today he joins Bon Appétit to break down every glass that he serves a cocktail in—when and where they originated, how they came to prominence, and why certain cocktail ingredients demand a particular presentation.

Relive an entire day at Pebble Bar with Tim Sweeney: http://www.youtube.com/watch?v=ml_KwtaTC-A

Director: Gunsel Pehlivan
Director of Photography: Eric Brouse
Editor: Boris Khaykin
Host: Tim Sweeney
Creative Producer: Parisa Kosari
Line Producer: Jen McGinity
Associate Producer: Oadhan Lynch
Production Manager: Janine Dispensa
Production Coordinator: Elizabeth Hymes
Camera Operator: Jake Robbins
Assistant Camera: Roberto ""Berto"" Hererra 
Audio: Lily van Leeuwen 
Production Assistant: Brianna Figuero; Nicole Gaitan
Post Production Supervisor: Andrea Farr
Post Production Coordinator: Scout Alter
Supervising Editor: Eduardo Araujo
Assistant Editor: Justin Symonds
Graphics Supervisor: Ross Rackin
Designer: Lea Kichler

Want Bon Appétit shirts, hats and more? https://shop.bonappetit.com/?utm_source=youtube&utm_brand=ba&utm_campaign=aud-dev&utm_medium=video&utm_content=merch-shop-promo

Still haven’t subscribed to Bon Appétit on YouTube? ►► http://bit.ly/1TLeyPn

Want more Bon Appétit in your life? Subscribe to the magazine! https://bit.ly/313UWRu

ABOUT BON APPÉTIT
Bon Appétit is a highly opinionated food brand that wants everyone to love cooking and eating as much as we do. We believe in seasonal produce, properly salted pasta water, and developing recipes that anyone can make at home.","['bartender', 'bon app', 'bon appetit', 'cocktail', 'cocktail glass', 'cocktail glass history', 'cocktail glasses', 'cocktail history', 'cocktails', 'food', 'head bartender', 'how to be a bartender', 'martini glass', 'pebble bar', 'tim sweeney']",30652,1254,private,31,PT14M18S,2023-05-25T16:00:24Z,False
1,Why Is Wine So Expensive At Restaurants?,2023-05-24T20:36:46Z,"Sommelier André Hueston Mack breaks down the logic behind the markup you'll find on wine bottles when eating out.

Want to know more? https://youtu.be/Ep9kbpYlEWg

Want Bon Appétit shirts, hats and more? https://shop.bonappetit.com/?utm_source=youtube&utm_brand=ba&utm_campaign=aud-dev&utm_medium=video&utm_content=merch-shop-promo

Still haven’t subscribed to Bon Appétit on YouTube? ►► http://bit.ly/1TLeyPn

Want more Bon Appétit in your life? Subscribe to the magazine! https://bit.ly/313UWRu

ABOUT BON APPÉTIT
Bon Appétit is a highly opinionated food brand that wants everyone to love cooking and eating as much as we do. We believe in seasonal produce, properly salted pasta water, and developing recipes that anyone can make at home.","['andre mack', 'andré hueston mack', 'andré mack', 'bon app wine', 'bon appetit', 'bon appetit world of wine', 'create a wine list', 'create wine list', 'creating a balanced wine list', 'food', 'good snacks to eat with white wine', 'how to become a master of wine', 'how to create a wine list', 'how to design a wine list', 'master of wine', 'restaurant business', 'restaurant owner', 'restaurant wine list', 'what wine goes with what food', 'wine and cheese', 'wine list', 'wine list ideas', 'world of wine']",25714,577,private,38,PT54S,2023-05-24T20:36:46Z,False
2,"14 Seats, 16 Courses, 1 Chef: A Day With The Yakitori Master at Kono | On The Line | Bon Appétit",2023-05-23T16:01:16Z,"“It took 10 years to become the Yakitori Master. I can control butchery. I can control flavor. I can control fire.” Spend a day behind the scenes with Atsushi ""ATS"" Kono at his Yakitori restaurant in New York City, Kono—an intimate space where he serves 16 courses to 14 guests at a time, single handedly. 

Director: Gunsel Pehlivan
Director of Photography: Ben Dewey
Editor: Misa Qu
Host: Atsushi Kono
Creative Producer: Parisa Kosari
Line Producer: Jen McGinity
Associate Producer: Oadhan Lynch
Production Manager: Janine Dispensa
Production Coordinator: Elizabeth Hymes
Camera Operator: Duell Davis
Assistant Camera: Lucas Young
Audio: Mike Guggino
Production Assistant: Jamal Abdinasir Mohamed 
Researcher: Vivian Jao
Post Production Supervisor: Andrea Farr
Post Production Coordinator: Scout Alter 
Supervising Editor: Eduardo Araujo
Assistant Editor: Billy Ward

Want Bon Appétit shirts, hats and more? https://shop.bonappetit.com/?utm_source=youtube&utm_brand=ba&utm_campaign=aud-dev&utm_medium=video&utm_content=merch-shop-promo

Still haven’t subscribed to Bon Appétit on YouTube? ►► http://bit.ly/1TLeyPn

Want more Bon Appétit in your life? Subscribe to the magazine! https://bit.ly/313UWRu

ABOUT BON APPÉTIT
Bon Appétit is a highly opinionated food brand that wants everyone to love cooking and eating as much as we do. We believe in seasonal produce, properly salted pasta water, and developing recipes that anyone can make at home.","['behind the scenes', 'best restaurant in the world', 'best restaurants', 'bon appetit', 'bon appetit on the line', 'chicken yakitori', 'food', 'full service restaurant kitchen', 'kono', 'kono new york', 'kono new york city', 'kono yakitori', 'michelin restaurant', 'michelin star chef', 'on the line', 'professional kitchen bts', 'restaurant', 'restaurant kitchen', 'restaurant kitchen behind the scenes', 'restaurant life', 'yakitori', 'yakitori kono']",128243,3311,private,64,PT19M25S,2023-05-23T16:01:16Z,False
3,Noodles with Pork Zha Jiang Sauce: The Final Steps,2023-05-22T20:48:37Z,"Join Jason Wang, CEO of Xi'an Famous Foods, in the Bon Appétit Test Kitchen as he prepares hand-ripped noodles with Pork Zha Jiang meat sauce.

See the full video: https://youtu.be/6NZPhmKYJSw

Want Bon Appétit shirts, hats and more? https://shop.bonappetit.com/?utm_source=youtube&utm_brand=ba&utm_campaign=aud-dev&utm_medium=video&utm_content=merch-shop-promo

Still haven’t subscribed to Bon Appétit on YouTube? ►► http://bit.ly/1TLeyPn

Want more Bon Appétit in your life? Subscribe to the magazine! https://bit.ly/313UWRu

ABOUT BON APPÉTIT
Bon Appétit is a highly opinionated food brand that wants everyone to love cooking and eating as much as we do. We believe in seasonal produce, properly salted pasta water, and developing recipes that anyone can make at home.","['best noodles', 'bon appetit', 'bon appetit test kitchen', 'chinese noodles', 'food', 'from the test kitchen', 'hand pulled noodle recipes', 'hand pulled noodles', 'hand pulled noodles at home', 'hand pulled noodles soup', 'hand pulled noodles street food', 'hand ripped', 'hand ripped noodles', 'homemade noodles', 'how to make hand pulled noodles', 'jason wang', 'noodles', ""xi'an famous foods"", ""xi'an noodles"", ""xi'an noodles recipe"", 'xian famous foods', 'xian famous foods noodles', 'xian noodles']",53132,1367,private,9,PT59S,2023-05-22T20:48:37Z,False
4,Ash Oil Is Your New Smoky Flavor Savior,2023-05-19T18:48:29Z,"Executive Chef Fariyal Abdullahi from New York's hottest seafood restaurant Hav & Mar shows you how to make ash infused oil—bring the aromas of a campfire straight to your taste buds.

See our entire day behind the scenes at Hav & Mar with Chef Abdullahi here: https://youtu.be/UsD1MhKBmD4

Want Bon Appétit shirts, hats and more? https://shop.bonappetit.com/?utm_source=youtube&utm_brand=ba&utm_campaign=aud-dev&utm_medium=video&utm_content=merch-shop-promo

Still haven’t subscribed to Bon Appétit on YouTube? ►► http://bit.ly/1TLeyPn

Want more Bon Appétit in your life? Subscribe to the magazine! https://bit.ly/313UWRu

ABOUT BON APPÉTIT
Bon Appétit is a highly opinionated food brand that wants everyone to love cooking and eating as much as we do. We believe in seasonal produce, properly salted pasta water, and developing recipes that anyone can make at home.","['ash infused oil', 'ash oil', 'ba on the line', 'behind the scenes', 'best restaurant in the world', 'best restaurants', 'bon app', 'bon app on the line', 'bon appetit', 'bon appetit on the line', 'fariyal abdullahi', 'food', 'full service restaurant kitchen', 'hav & mar', 'hav and mar', 'hav and mar new york', 'make ash oil', 'michelin restaurant', 'michelin star chef', 'on the line', 'professional chef', 'professional kitchen bts', 'restaurant', 'restaurant kitchen', 'restaurant life', 'shorts']",176226,4328,private,127,PT48S,2023-05-19T18:48:29Z,False
5,Wine Math: 1 Bottle Wholesale = 1 Glass Retail,2023-05-18T20:01:05Z,"Check out the full video here: https://youtu.be/Ep9kbpYlEWg

Want Bon Appétit shirts, hats and more? https://shop.bonappetit.com/?utm_source=youtube&utm_brand=ba&utm_campaign=aud-dev&utm_medium=video&utm_content=merch-shop-promo

Still haven’t subscribed to Bon Appétit on YouTube? ►► http://bit.ly/1TLeyPn

Want more Bon Appétit in your life? Subscribe to the magazine! https://bit.ly/313UWRu

ABOUT BON APPÉTIT
Bon Appétit is a highly opinionated food brand that wants everyone to love cooking and eating as much as we do. We believe in seasonal produce, properly salted pasta water, and developing recipes that anyone can make at home.","['andre mack', 'andré hueston mack', 'andré mack', 'bon app', 'bon app wine', 'bon appetit', 'bon appetit world of wine', 'create a wine list', 'create wine list', 'creating a balanced wine list', 'food', 'master of wine', 'restaurant business', 'restaurant markup', 'restaurant owner', 'restaurant wine list', 'restaurant wine mark up', 'why is wine so expensive', 'wine cost', 'wine list', 'wine list ideas', 'wine mark up', 'wine markup', 'wine price', 'wine price mark up', 'wine price markup', 'world of wine']",40153,1066,private,53,PT39S,2023-05-18T20:01:05Z,False
6,5 Quick Dips To Make For Your Next Party | From The Test Kitchen | Bon Appétit,2023-05-17T16:00:14Z,"Join Bon Appétit contributor Pierce Abernathy in the BA Test Kitchen as he makes 5 delicious dips with complex layers of flavor that come together quick—perfect for your next summer get together.

Director/Producer: Mel Ibarra
Director of Photography: Eric Brouse
Editor: LJ D’Arpa
Talent: Pierce Abernathy
 IG: @pierceabernathy
 Tiktok: @pierzza
Director of Culinary Production: Kelly Janke
Culinary Researcher and Recipe Editor: Vivian Jao
Culinary Producer: Mallary Santucci
Culinary Associate Producer: Katrina Zito
Line Producer: Jen McGinity
Associate Producer: Oadhan Lynch
Production Manager: Janine Dispensa
Production Coordinator: Elizabeth Hymes
Camera Operator: Jake Robbins
Audio: Lily Van Leeuwen
Production Assistant: Brianna Figueroa
Post Production Supervisor: Andrea Farr
Post Production Coordinator: Scout Alter
Supervising Editor: Eduardo Araújo
Assistant Editor: Justin Symonds

--
0:00 When I dip you dip we dip
0:27 Fresh Turmeric and Black Pepper Labneh Dip
1:44 Taste!
1:55 Swiss Chard, Artichoke, and Cashew Dip
5:18 Taste!
5:28 Caramelized Shallot and Anchovy Dip
8:14 Taste!
8:25 Sweet Potato Dip with Broccoli Salsa Verde
12:00 Taste!
12:14 Chopped Beet Salsa
14:42 Taste!

Want Bon Appétit shirts, hats and more? https://shop.bonappetit.com/?utm_source=youtube&utm_brand=ba&utm_campaign=aud-dev&utm_medium=video&utm_content=merch-shop-promo

Still haven’t subscribed to Bon Appétit on YouTube? ►► http://bit.ly/1TLeyPn

Want more Bon Appétit in your life? Subscribe to the magazine! https://bit.ly/313UWRu

ABOUT BON APPÉTIT
Bon Appétit is a highly opinionated food brand that wants everyone to love cooking and eating as much as we do. We believe in seasonal produce, properly salted pasta water, and developing recipes that anyone can make at home.","['5 quick dips', 'ba test kitchen', 'baked dip recipe', 'best chips and dip', 'best dip recipe', 'best dip recipes', 'bon app', 'bon appetit', 'bon appetit recipe', 'bon appetit test kitchen', 'easy baked dip', 'easy chips and dip recipe', 'easy dip recipes', 'easy homemade dip', 'easy homemade party dip', 'easy to make dips', 'food', 'gourmet dip', 'gourmet dips', 'party dip', 'party dips', 'pierce abernathy', 'quick dip', 'quick dip recipes', 'quick dips', 'quick party dip', 'quick party dip recipe']",184463,4948,private,185,PT15M29S,2023-05-17T16:00:14Z,False
7,Wine Lingo—GO!,2023-05-12T19:36:06Z,"André Hueston Mack reels off rapid fire wine terms in this supercut from World of Wine. 

Check out all the episodes here: https://www.youtube.com/playlist?list=PLKtIunYVkv_RpjXAgcKGgR2BFXpgBU7FQ

Want Bon Appétit shirts, hats and more? https://shop.bonappetit.com/?utm_source=youtube&utm_brand=ba&utm_campaign=aud-dev&utm_medium=video&utm_content=merch-shop-promo

Still haven’t subscribed to Bon Appétit on YouTube? ►► http://bit.ly/1TLeyPn

Want more Bon Appétit in your life? Subscribe to the magazine! https://bit.ly/313UWRu

ABOUT BON APPÉTIT
Bon Appétit is a highly opinionated food brand that wants everyone to love cooking and eating as much as we do. We believe in seasonal produce, properly salted pasta water, and developing recipes that anyone can make at home.","['andre hueston mack', 'andre mack', 'ba world of wine', 'bon app', 'bon appetit', 'bon appetit world of wine', 'food', 'food and wine pairing', 'food pairing', 'types of wine', 'wine', 'wine food', 'wine jargon', 'wine pairing', 'wine pairing chart', 'wine pairing with food', 'wine tasting', 'world of wine']",30406,910,private,34,PT49S,2023-05-12T19:36:06Z,False
8,Chris Makes Fried Fish Sandwiches | From The Test Kitchen | Bon Appétit,2023-05-11T16:00:14Z,"Join Chris Morocco in the Bon Appétit Test Kitchen as he prepares fried fish sandwiches with pickled cucumbers and fresh tartar sauce. Any flaky whitefish will do the job here—Chris uses cod for this recipe but hake, halibut, and haddock work just as well.

Get this full recipe - and unlimited access to thousands more https://www.bonappetit.com/unlimited

Director/Producer: Parisa Kosari
Director of Photography: Kevin Dynia
Editor: Jared Hutchinson
Line Producer: Jennifer McGinity
Production Manager: Janine Dispensa
Production Coordinator: Elizabeth Hymes
Associate Culinary Producer: Stevie Stewart
Associate Producer: Oadhan Lynch
Camera Operator: Eric Brouse
Audio: Lily Van Leeuwen
Production Assistants: Brianna Figueroa, Alex Mitchell
Researcher: Vivian Jao
Post Production Supervisor: Andrea Farr
Post Production Coordinator: Scout Alter
Supervising Editor: Eduardo Araújo
Assistant Editor: Andy Morell

--
0:00 Fried Fish Sandwiches
0:18 Make tartar sauce
0:43 Combine mayonnaise, mustard, relish, capers, lemon zest and juice, garlic, and salt 
2:02 Pickle cucumbers 
2:15 Thinly slice cucumbers lengthwise and put into bowl
2:32 Add vinegar, toss to coat, and let sit 
2:41 Toast buns
3:16 Brush insides of buns with melted butter and toast in skillet
3:33 Heat oil in skillet until thermometer registers 375°
3:40 Make dredge and batter
3:53 For the dredge, combine flour and cornstarch in a bowl 
4:07 For the batter, in separate bowl, combine flour, cornstarch, baking powder, cayenne, and Old Bay seasoning 
4:43 In another separate bowl, mix beaten egg and beer
5:05 Add egg mixture to dry batter mixture and whisk
5:19 Fry fish
5:21 Season fish with salt 
5:26 Dredge and batter fish
5:49 Add fish to hot oil
6:02 Flip fish when deeply browned on bottom side
6:21 Cook until fish temperature is 125–130°, 7–9 minutes later
6:26 Transfer fish to wire rack set inside sheet pan
6:32 Assemble sandwich 
6:37 Add dill to cucumbers
6:43 Plate by layering bottom bun, cucumbers, fish, lettuce, and sauced top bun
7:11 Taste!


Want Bon Appétit shirts, hats and more? https://shop.bonappetit.com/?utm_source=youtube&utm_brand=ba&utm_campaign=aud-dev&utm_medium=video&utm_content=merch-shop-promo

Still haven’t subscribed to Bon Appétit on YouTube? ►► http://bit.ly/1TLeyPn

Want more Bon Appétit in your life? Subscribe to the magazine! https://bit.ly/313UWRu

ABOUT BON APPÉTIT
Bon Appétit is a highly opinionated food brand that wants everyone to love cooking and eating as much as we do. We believe in seasonal produce, properly salted pasta water, and developing recipes that anyone can make at home.","['ba test kitchen', 'best fish for frying', 'best fish sandwich', 'best fried fish sandwich', 'best homemade tartar sauce', 'bon appetit', 'bon appetit fried fish sandwich', 'bon appetit recipe', 'bon appetit test kitchen', 'chris morocco', 'chris morocco fried fish sandwich', 'food', 'fried fish sandwich', 'fried whitefish', 'from the test kitchen', 'homemade tartar sauce', 'how to make tartar sauce', 'make fried fish sandwich', 'pickled cucumber', 'pickled cucumber for sandwich', 'tartar sauce', 'tartar sauce recipe']",136090,3354,private,95,PT7M49S,2023-05-11T16:00:14Z,False
9,Pineapple Also Eats You,2023-05-10T20:18:23Z,"Tristan Kwong from Bonnies In New York shares some interesting intel on pineapples—how to tell if they're ripe, how to slice them, and why your mouth tingles when you're eating it.

Want Bon Appétit shirts, hats and more? https://shop.bonappetit.com/?utm_source=youtube&utm_brand=ba&utm_campaign=aud-dev&utm_medium=video&utm_content=merch-shop-promo

Still haven’t subscribed to Bon Appétit on YouTube? ►► http://bit.ly/1TLeyPn

Want more Bon Appétit in your life? Subscribe to the magazine! https://bit.ly/313UWRu

ABOUT BON APPÉTIT
Bon Appétit is a highly opinionated food brand that wants everyone to love cooking and eating as much as we do. We believe in seasonal produce, properly salted pasta water, and developing recipes that anyone can make at home.","['acid reflux', 'bon app', 'bon appetit', 'bon appetit bonnies', 'cut pineapple', 'digestive enzymes', 'enzymes', 'food', 'fruit enzymes', 'health benefits of pineapple', 'heartburn', 'homemade enzymes', 'how to cut pineapple', 'how to serve pineapple', 'how to tell if pineapple is ripe', 'pineapple', 'pineapple enzyme', 'pineapple lemon enzyme', 'pineapple remedies', 'pineapple ripe', 'ripe pineapple', 'serve pineapple', 'slice pineapple', 'tristan kwong', 'what happens to your body when eating pineapple']",457061,14776,private,221,PT51S,2023-05-10T20:18:23Z,False
